MADE BY @ALEXKATSON,,,,BUY ME A BEER,,,,,,,,,
Name,Position,School,Height,Weight,Hand,Arm,Wing,40,Bench,3-Cone,Shuttle,Vertical,Broad
Kendall Smith,S,Illinois,6010,211,0938,3228,7728,4.61,23,7.57,4.38,34,0911
Adam Gay,IDL,New Mexico,6041,274,0938,3200,7700,5.05,28,7.88,4.37,30,0900
Justin Harris,EDGE,New Mexico,6044,262,0900,3328,8038,4.90,--,7.65,4.75,26.5,0811
Reco Hannah,LB,New Mexico,6003,210,0928,3038,7448,4.54,23,7.60,4.65,33.5,1003
Jerrick Reed II,S,New Mexico,5096,196,0938,3100,7258,4.46,18,7.16,4.31,38,1002
George Steinkamp,K,New Mexico,6011,189,0738,3138,7468,--,12,--,--,--,--
Isaiah Perez,LS,New Mexico,5095,205,0818,3078,7368,5.13,20,--,--,27.5,0902
Zarak Scruggs,WR,Abilene Christian,6013,200,0838,3128,7528,4.52,19,7.59,4.25,33,1000
Travis Eitel,G,New Mexico Highlands,6036,308,0948,3268,7848,5.61,19,8.68,5.16,22,0800
Rashaun Williams,IDL,New Mexico Highlands,6005,294,1000,3218,7848,5.21,--,8.22,4.84,25.5,0809
Jack Rasmussen,P,Western New Mexico,6025,222,0848,3100,7748,DID NOT TEST - POSITIONAL ONLY,,,,,
Uriah West,RB,Rice,5112,240,0958,3100,7548,4.73,20,7.58,4.62,33.5,0909
Isaiah Esdale,WR,Rice,5116,202,0968,2978,7258,4.74,24,7.10,4.40,32.5,0902
Quent Titre,IDL,Rice,6012,289,0948,3100,7628,5.56,23,7.81,4.85,25.5,0801
Ikenna Enechukwu,EDGE,Rice,6042,265,0958,3358,8148,--,23,7.58,4.64,32.5,--
Trey Schuman,EDGE,Rice,6021,247,0938,3118,7458,4.81,21,7.52,4.60,34.5,0909
Miles McCord,CB,Rice,5114,170,0838,2968,7118,4.58,--,7.64,4.49,34.5,1009
Vernon Harrell,WR,Houston Christian,6033,222,0928,3368,8248,4.64,11,7.19,4.57,35,1003
Derrick Wilson,CB,Houston Christian,5076,175,0868,3048,7348,4.66,17,7.38,4.34,35,1006
Coi Miller,S,Houston Christian,5104,185,0900,3038,7458,4.75,10,7.56,4.69,31.5,0908
Chris Boudreaux,WR,Missouri Southern,5114,158,0778,3048,7548,4.82,--,7.50,4.69,32,0907
Ulonzo Gilliam Jr.,RB,UC Davis,5076,193,0848,3000,7248,4.70,15,7.15,4.22,34,0904
Justin Poerio,WR,UC Davis,5106,185,0900,3018,7078,4.74,--,6.90,4.26,33,0908
Nick Amoah,G,UC Davis,6023,306,0918,3228,7800,5.15,26,7.58,4.78,30,0807
Connor Pettek,C,UC Davis,6027,289,0868,3100,7600,5.58,21,7.98,4.88,24,0803
Jaylin White,CB,UC Davis,5093,182,0868,3048,7038,4.62,15,6.87,4.33,33.5,1001
Isaiah Gomez,K,UC Davis,5116,205,0828,2928,7258,DID NOT TEST - POSITIONAL ONLY,,,,,
Quinton Barrow,OT,Grand Valley State,6055,317,0968,3428,8158,5.40,19,8.14,4.87,--,--
Justus Smith,G,Grand Valley State,6016,290,0978,3358,8028,5.34,19,8.25,5.37,26.5,0808
Antonio Strong,S,Grand Valley State,5113,198,0868,3028,7218,4.66,12,7.26,4.33,32.5,0908
Sy Barnett,WR,Davenport,6000,190,0918,3018,7338,4.39,12,6.68,4.13,40,1011
Brendan Boman,LB,Davenport,6015,227,0918,3138,7558,4.98,23,7.20,4.59,33.5,0901
Marshall Brooks,CB,Davenport,6017,181,0958,3258,7858,4.66,--,7.33,4.47,29.5,0903
Tyler Roberts,WR,Coastal Carolina,6030,191,0958,3148,8000,4.62,--,7.31,4.20,33,1004
Xavier Gravette,TE,Coastal Carolina,6027,239,0938,3168,7728,5.04,--,8.20,4.88,26,0809
Antwine Loper,OT,Coastal Carolina,6032,269,0948,3238,7838,5.24,20,8.32,4.89,25.5,0900
Jerrod Clark,IDL,Coastal Carolina,6035,337,0968,3368,8200,DID NOT TEST - COMBINE,,,,,
Amadou Fofana,IDL,Coastal Carolina,6026,255,--,--,--,DID NOT TEST - FOOT,,,,,
Adrian Hope,EDGE,Coastal Carolina,5115,242,1048,3258,7958,5.08,17,7.97,4.63,28,0902
Lance Boykin,CB,Coastal Carolina,6023,198,0968,3238,7818,4.72,--,--,4.39,30.5,--
D'Jordan Strong,CB,Coastal Carolina,5094,187,0978,2918,7028,4.73,17,7.50,4.47,32.5,1003
Jairan Parker,S,Coastal Carolina,5104,208,0938,3200,7700,4.83,11,7.57,4.25,25.5,0901
Elijah Mack,RB,Limestone,5106,226,0868,3100,7400,4.87,21,7.79,4.58,33,1000
Anthony McAfee II,RB,Limestone,5065,188,0938,2848,7028,4.73,15,7.28,4.34,38,1000
Aulden Knight II,CB,Limestone,5075,165,0848,2848,6928,4.60,14,7.28,4.40,32.5,0907
Fred Jackson,RB,Mercer,5086,176,0718,2818,6748,4.76,15,7.73,4.52,26,0807
Massimo Biscardi,K,Mississippi State,5097,203,0858,2948,7118,DID NOT TEST - POSITIONAL ONLY,,,,,
Ryan Miller,WR,Furman,6012,210,0918,3048,7348,4.52,--,6.84,4.27,32,1002
Cameron Coleman,IDL,Furman,6011,304,0948,3118,7548,5.63,--,8.20,5.14,22,0708
Jack Colletto,FB,Oregon State,6025,237,0978,3128,7600,4.85,17,7.31,4.43,36.5,0910
Tre'Shaun Harrison,WR,Oregon State,5112,188,0958,3068,7348,4.41,--,6.97,4.41,34,1003
Tyjon Lindsey,WR,Oregon State,5080,171,0868,2978,7338,4.47,13,6.69,4.10,39,1008
Luke Musgrave,TE,Oregon State,6057,251,1038,3258,7948,--,19,7.09,4.41,--,--
Brandon Kipper,OT,Oregon State,6054,318,1000,3358,8048,5.53,16,7.93,4.84,24.5,0800
Simon Sandberg,IDL,Oregon State,6027,285,0968,3100,7648,5.21,--,7.32,4.59,27,0807
Kyrei Fisher-Morris,LB,Oregon State,6003,240,0928,3268,7768,4.98,--,7.43,4.34,33,0904
Alex Austin,CB,Oregon State,6010,196,0848,3178,7628,4.56,--,7.06,4.25,--,--
Rejzohn Wright,CB,Oregon State,6015,193,0958,3248,7978,DID NOT TEST - KNEE/THUMB,,,,,
Jaydon Grant,S,Oregon State,5116,190,0928,2918,7248,4.73,--,6.87,4.38,37,0911
Luke Loecher,P,Oregon State,6042,205,0928,3300,8028,DID NOT TEST - POSITIONAL ONLY,,,,,
Emmanuel Daigbe,WR,Portland State,5113,215,0868,3148,7448,4.54,21,7.00,4.46,33.5,1004
Mike Irwin,QB,Portland State,6002,198,1018,3058,7548,4.83,16,7.53,4.71,33.5,0904
Beau Kelly,WR,Portland State,5086,171,0918,2900,6928,4.61,20,7.47,4.50,33.5,0903
Mataio Talalemotu,WR,Portland State,6010,195,0938,3048,7448,4.56,19,7.50,4.52,37,0910
Anthony Rodriguez,TE,Portland State,6023,249,0948,3228,7748,5.04,--,7.76,4.64,29.5,0902
Tyson Pauling,C,Portland State,6045,299,1000,3200,7900,5.56,25,8.16,4.89,23.5,0804
EJ Ane,IDL,Portland State,5117,266,0948,3100,7528,5.07,27,8.26,4.81,33,0902
VJ Malo,IDL,Portland State,6007,268,1028,3228,7648,5.27,--,8.41,5.07,28,0808
Anthony Adams,CB,Portland State,5116,191,0978,3118,7368,4.70,18,7.52,4.46,36.5,1002
Xavier Bell,S,Portland State,6012,194,0938,3148,7848,4.59,20,7.69,4.69,38.5,1010
Jaylin Parnell,LB,Western Oregon,5092,231,0858,3000,7548,4.96,15,8.28,4.77,29,0810
Christian Beal-Smith,RB,South Carolina,5091,201,0918,3000,7300,4.64,13,7.10,4.59,32,0909
Jalen Brooks,WR,South Carolina,6010,200,0948,3418,8028,4.58,15,7.23,4.50,--,--
Josh Vann,WR,South Carolina,5102,190,0948,3148,7578,4.46,--,6.94,4.32,36,1005
Nate Adkins,TE,South Carolina,6026,252,0900,3138,7628,4.87,14,7.33,4.40,31,1000
Dylan Wonnum,OT,South Carolina,6047,263,0958,3400,8268,5.30,--,7.79,4.72,24.5,0804
Jovaughn Gwyn,G,South Carolina,6017,297,0978,3168,7700,--,--,7.87,4.95,--,--
Eric Douglas,C,South Carolina,6042,295,1028,3348,8028,5.36,20,7.48,4.75,28.5,0900
Zacch Pickens,IDL,South Carolina,6037,298,1038,3438,8158,DID NOT TEST - COMBINE,,,,,
Sherrod Greene,LB,South Carolina,6001,217,0900,3148,7568,4.78,13,--,--,31.5,0908
Brad Johnson,LB,South Carolina,6020,237,0918,3200,7858,4.81,19,7.43,4.84,32.5,0911
Darius Rush,CB,South Carolina,6017,198,0948,3338,7958,DID NOT TEST - COMBINE,,,,,
Cam Smith,CB,South Carolina,6006,180,0918,3158,7618,DID NOT TEST - COMBINE,,,,,
Devonni Reed,S,South Carolina,5102,199,0958,3038,7218,4.64,19,7.07,4.59,34,0911
Jayden Thomas,WR,Benedict,6010,195,0948,3138,7568,4.73,7,7.59,4.62,26.5,0903
Tyler Pritchett,G,Benedict,6021,297,0948,3458,8200,--,14,--,--,18,0703
Olajuwone Smith,CB,Benedict,6010,162,0828,3348,7928,4.84,--,7.40,4.75,30.5,1000
Anton Williams,EDGE,Charleston Southern,6010,236,0978,3300,7800,4.92,16,7.73,4.88,30.5,0903
Hombre Kennedy,S,Charleston Southern,5104,190,0948,3128,7518,4.87,8,7.47,4.59,29.5,0909
Marquise Blount,EDGE,Citadel,6022,244,0900,3200,7600,4.85,20,7.54,4.57,27.5,0903
Chris Beverly,S,Citadel,5092,190,0948,3078,7500,4.84,13,7.29,4.51,31,1001
Destin Mack,S,Citadel,5112,204,0838,3000,7458,4.60,16,7.10,4.41,33.5,1005
Kobe Praylow,WR,Methodist,5081,175,0868,2868,7048,4.66,--,7.50,4.64,31.5,0908
Myles Prosser,P,North Greenville,6035,186,0928,3268,8000,DID NOT TEST - POSITIONAL ONLY,,,,,
